"Dia";"Diesel A";"Gasolina 95"
"2020-09-03 00:00:00";1,0861;1,2189
"2020-09-04 00:00:00";1,085;1,2178
"2020-09-05 00:00:00";1,0787;1,2155
"2020-09-06 00:00:00";1,0773;1,2147
"2020-09-08 00:00:00";1,0742;1,2132
"2020-09-09 00:00:00";1,0715;1,2127
"2020-09-10 00:00:00";1,0693;1,211
"2020-09-11 00:00:00";1,0639;1,208
"2020-09-12 00:00:00";1,0642;1,2061
"2020-09-13 00:00:00";1,0641;1,2068
"2020-09-14 00:00:00";1,0641;1,2068
"2020-09-15 00:00:00";1,0595;1,2039
"2020-09-16 00:00:00";1,0573;1,2018
"2020-09-17 00:00:00";1,0572;1,1997
"2020-09-18 00:00:00";1,0569;1,2066
"2020-09-19 00:00:00";1,0593;1,2114
"2020-09-20 00:00:00";1,0601;1,2127
"2020-09-21 00:00:00";1,0607;1,2133
"2020-09-22 00:00:00";1,0586;1,213
"2020-09-23 00:00:00";1,0586;1,2138
"2020-09-24 00:00:00";1,054;1,2092
"2020-09-25 00:00:00";1,0541;1,2103
"2020-09-26 00:00:00";1,0548;1,2121
"2020-09-27 00:00:00";1,0544;1,212
"2020-09-28 00:00:00";1,0544;1,212
"2020-09-29 00:00:00";1,0536;1,2107
"2020-09-30 00:00:00";1,055;1,2123
"2020-10-01 00:00:00";1,0587;1,2122
"2020-10-02 00:00:00";1,0585;1,2115
"2020-10-03 00:00:00";1,0595;1,212
"2020-10-04 00:00:00";1,0566;1,2078
"2020-10-05 00:00:00";1,0578;1,209
"2020-10-06 00:00:00";1,0567;1,2068
"2020-10-07 00:00:00";1,0579;1,2087
"2020-10-08 00:00:00";1,0615;1,2105
"2020-10-09 00:00:00";1,0629;1,2102
"2020-10-10 00:00:00";1,0647;1,2113
"2020-10-11 00:00:00";1,0646;1,2117
"2020-10-12 00:00:00";1,0646;1,2117
"2020-10-13 00:00:00";1,0631;1,2104
"2020-10-14 00:00:00";1,0635;1,2093
"2020-10-15 00:00:00";1,0621;1,2063
"2020-10-16 00:00:00";1,0627;1,2093
"2020-10-17 00:00:00";1,0643;1,2097
"2020-10-18 00:00:00";1,0644;1,2104
"2020-10-19 00:00:00";1,0644;1,2104
"2020-10-20 00:00:00";1,0641;1,2095
"2020-10-21 00:00:00";1,061;1,206
"2020-10-22 00:00:00";1,0613;1,2055
"2020-10-23 00:00:00";1,0576;1,2042
"2020-10-24 00:00:00";1,058;1,2046
"2020-10-25 00:00:00";1,0594;1,2059
"2020-10-26 00:00:00";1,0587;1,2052
"2020-10-27 00:00:00";1,0558;1,2019
"2020-10-28 00:00:00";1,0532;1,2002
"2020-10-29 00:00:00";1,0534;1,1995
"2020-10-30 00:00:00";1,0501;1,1966
"2020-10-31 00:00:00";1,046;1,1931
"2020-11-01 00:00:00";1,0465;1,1925
"2020-11-02 00:00:00";1,0465;1,1928
"2020-11-03 00:00:00";1,0437;1,1902
"2020-11-04 00:00:00";1,0443;1,1904
"2020-11-05 00:00:00";1,0478;1,1937
"2020-11-06 00:00:00";1,0505;1,1953
"2020-11-07 00:00:00";1,053;1,1977
"2020-11-08 00:00:00";1,053;1,1976
"2020-11-09 00:00:00";1,0529;1,1976
"2020-11-10 00:00:00";1,0522;1,1964
"2020-11-11 00:00:00";1,0575;1,2009
"2020-11-12 00:00:00";1,0626;1,2048
"2020-11-13 00:00:00";1,0674;1,2096
"2020-11-14 00:00:00";1,0704;1,2092
"2020-11-15 00:00:00";1,0714;1,2087
"2020-11-16 00:00:00";1,0714;1,2087
"2020-11-17 00:00:00";1,0688;1,2063
"2020-11-18 00:00:00";1,0725;1,2082
"2020-11-19 00:00:00";1,0738;1,2092
"2020-11-20 00:00:00";1,0773;1,2118
"2020-11-21 00:00:00";1,0793;1,2122
"2020-11-22 00:00:00";1,0791;1,2126
"2020-11-23 00:00:00";1,0791;1,2126
"2020-11-24 00:00:00";1,0791;1,213
"2020-11-25 00:00:00";1,0826;1,2172
"2020-11-26 00:00:00";1,0885;1,2231
"2020-11-27 00:00:00";1,09;1,2247
"2020-11-28 00:00:00";1,0929;1,2274
"2020-11-29 00:00:00";1,0913;1,2255
"2020-11-30 00:00:00";1,0928;1,2267
"2020-12-01 00:00:00";1,0957;1,2278
"2020-12-02 00:00:00";1,0962;1,2261
"2020-12-03 00:00:00";1,0962;1,2271
"2020-12-04 00:00:00";1,0969;1,2279
"2020-12-05 00:00:00";1,0965;1,2295
"2020-12-06 00:00:00";1,0978;1,2303
"2020-12-07 00:00:00";1,0978;1,2303
"2020-12-08 00:00:00";1,098;1,231
"2020-12-09 00:00:00";1,1018;1,233
"2020-12-10 00:00:00";1,1035;1,2336
"2020-12-11 00:00:00";1,1075;1,237
"2020-12-12 00:00:00";1,1145;1,243
"2020-12-13 00:00:00";1,1141;1,2432
"2020-12-14 00:00:00";1,1141;1,2432
"2020-12-15 00:00:00";1,1152;1,2434
"2020-12-16 00:00:00";1,1168;1,2443
"2020-12-17 00:00:00";1,1203;1,2476
"2020-12-18 00:00:00";1,1226;1,2483
"2020-12-19 00:00:00";1,1251;1,2497
"2020-12-20 00:00:00";1,1261;1,2505
"2020-12-21 00:00:00";1,1262;1,2511
"2020-12-22 00:00:00";1,1278;1,253
"2020-12-23 00:00:00";1,1261;1,251
